"","hgnc_symbol","uniprot_gn_id"
"700","PIGT","A0A1W2PPC3"
"701","PIGT","A0A1W2PNZ5"
"702","PIGT","F6W983"
"703","PIGT","B7Z7C5"
"704","PIGT","A0A1W2PNS2"
"705","PIGT","A0A1W2PQ52"
"706","PIGT","A0A1W2PRL6"
"707","PIGT","A0A1W2PRV7"
"708","PIGT","A0A1W2PRZ8"
"709","PIGT","A0A1W2PP98"
"710","PIGT","A0A1W2PP03"
"711","PIGT","A0A1W2PR92"
"712","PIGT","A0A1W2PP91"
"713","PIGT","A0A1W2PPQ7"
"714","PIGT","A0A1W2PPS0"
"715","PIGT","A0A1W2PP57"
"716","PIGT","A0A1W2PPU8"
"717","PIGT","A0A1W2PR22"
"718","PIGT","A0A1W2PRG1"
"719","PIGT","A0A1W2PR70"
"720","PIGT","A0A1W2PNW9"
"721","PIGT","A0A1W2PRH8"
"722","PIGT","A0A1W2PRB4"
"723","PIGT","A0A1W2PQY1"
"724","PIGT","A0A1W2PQL3"
"725","PIGT","A0A1W2PPI8"
"726","PIGT","A0A1W2PP13"
"727","PIGT","A0A1W2PQN1"
"728","PIGT","H7C2Y2"
"729","PIGT","A0A1W2PP53"
"730","PIGT","A0A1W2PNP0"
"731","PIGT","A0A1W2PRH2"
"732","MTND6P22",""
"733","DNMT3L","Q9UJW3"
"734","DNMT3L","C9J0T5"
"735","SERPINB6","P35237"
"736","SERPINB6","A0A2R8Y517"
"737","SERPINB6","A0A087X1N8"
"738","SERPINB6","A0A024QZX5"
"739","SERPINB6","A0A2R8YD12"
"740","SERPINB6","A0A2R8Y5S1"
"741","SERPINB6","A0A2R8YDD0"
"742","SERPINB6","A0A2R8Y6N4"
"743","SERPINB6","A0A2R8Y6A7"
"744","SERPINB6","A0A024QZX3"
"745","SERPINB6","A0A3B3ISC3"
"746","FABP3P2",""
"747","LINC02341",""
"748","MTND5P10",""
"749","KRT18P14",""
"750","MTND4P35",""
"751","ZSWIM3","Q96MP5"
"752","MTND4LP5",""
"753","MTND3P19",""
"754","MTCO3P22",""
"755","MTATP6P2",""
"756","RAC1P9",""
